"date","geography","geography code","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"2011","Bassetlaw","E07000171",51829,878,611,7096,2680,155,149,544,1458,723,1387,1088,478,4583,9450,3030,2715,673,720,540,1510,1848,2171,4274,8043,2078,40,3
"2011","Broxtowe","E07000172",38833,82,17,4283,934,239,76,304,573,1058,1099,349,130,3736,7895,2142,1923,1694,750,445,2030,1859,2153,3628,3977,1722,13,5
"2011","Gedling","E07000173",36897,246,102,3787,265,670,129,310,756,542,1115,192,395,4200,6765,1513,1821,699,547,471,1351,1418,3519,3740,4343,1770,18,0
"2011","Mansfield","E07000174",40987,95,138,4469,292,399,101,680,673,1010,1314,133,382,4430,8131,1542,2093,628,936,492,1474,1686,2362,4486,5498,1996,13,3
"2011","Newark and Sherwood","E07000175",50938,1127,600,6369,2068,164,204,269,1125,1339,1200,348,455,4409,8886,2367,4304,1559,622,544,2266,2113,2418,3883,5802,2829,33,4
"2011","Rushcliffe","E07000176",45942,610,101,3324,413,330,47,331,612,571,1020,1151,212,3620,6667,1359,2276,2277,1417,544,3653,1791,3794,5586,4812,2697,50,1
"2011","Herefordshire, County of","E06000019",87169,4937,82,11284,3058,206,446,1724,2076,1884,1890,167,638,7705,15079,2605,4891,1672,1303,1337,4064,3872,4093,7821,11522,3969,112,16
"2011","Shropshire","E06000051",145002,5895,209,14460,4082,346,736,887,2623,3021,2765,519,1341,11993,24083,5651,9002,3206,2311,1877,7120,5714,10423,13782,20352,6875,154,35
"2011","Stoke-on-Trent","E06000021",114156,127,140,14529,1096,243,240,1930,6256,2487,2277,1185,830,8725,21032,6238,4998,2529,3100,1141,3747,5289,4906,10070,19589,5949,28,4
"2011","Telford and Wrekin","E06000020",83177,631,67,15328,1322,415,613,1414,2438,5688,3438,262,832,4974,13765,3081,3612,4633,2762,1040,2831,3687,6112,7856,8579,3084,37,4
"2011","Cannock Chase","E07000192",38814,73,30,5229,217,146,132,546,1207,1868,1113,195,311,5218,8365,2350,2149,558,684,301,1305,1742,1346,3179,4267,1495,15,2
"2011","East Staffordshire","E07000193",59222,707,89,11365,3833,209,130,833,1302,3460,1598,244,369,4315,10617,3166,3613,1256,864,585,2226,2467,1990,4863,7853,2596,36,1
"2011","Lichfield","E07000194",44755,614,63,4799,534,149,78,573,1316,1225,924,305,415,4123,8322,2380,2658,1223,964,511,2458,2048,2329,3836,5226,2443,35,3
"2011","Newcastle-under-Lyme","E07000195",49280,321,38,5005,512,152,123,472,1644,1332,770,208,269,4048,10968,2989,2655,1310,1069,753,2280,2030,1360,6117,5723,2117,16,4
"2011","South Staffordshire","E07000196",36453,693,35,4288,394,93,75,449,906,1558,813,138,503,4306,6231,1742,2409,761,634,471,1577,1700,1902,3448,3731,1845,31,8
"2011","Stafford","E07000197",67178,1165,34,6518,594,121,122,773,1453,2094,1361,656,410,4605,10349,3101,3704,1672,1105,705,2811,3033,7155,5998,10857,3249,43,8
"2011","Staffordshire Moorlands","E07000198",34851,1136,113,4922,760,274,86,536,1053,1363,850,104,265,3280,4878,1437,2251,417,1676,360,1374,1414,967,3325,4058,2845,29,0
"2011","Tamworth","E07000199",30315,34,19,3908,402,130,94,509,953,960,860,75,202,2856,7365,2041,1574,774,1151,225,1128,1990,840,2576,2209,1341,7,0
"2011","North Warwickshire","E07000218",39558,370,710,5662,614,104,100,690,1301,2110,743,214,409,3433,7847,6567,2372,1072,488,289,1164,1923,761,2425,2480,1357,11,4
"2011","Nuneaton and Bedworth","E07000219",45300,95,33,5659,334,228,85,272,1491,2451,798,135,260,3320,9172,3397,1920,837,982,350,1427,2358,1774,4446,6837,2282,16,0
"2011","Rugby","E07000220",47452,472,48,7346,472,114,68,267,1556,3674,1195,474,297,4658,7631,3380,2927,1638,831,404,2385,2088,2164,4338,4400,1933,36,2
"2011","Stratford-on-Avon","E07000221",63398,1558,34,8908,398,144,118,403,1111,5543,1191,151,391,4730,10380,2108,4469,2723,2780,917,4987,3560,1800,5231,4931,3630,98,12
"2011","Warwick","E07000222",77726,456,28,7594,1167,140,108,430,553,3728,1468,2398,849,4189,12553,3525,4284,4425,1690,898,6787,3545,4261,6729,9415,3980,65,55
"2011","Birmingham","E08000025",488095,346,35,40693,3139,1267,781,3652,9246,13045,9563,1170,2697,28761,70496,25513,25288,14710,25405,8095,34212,22910,31636,60680,73766,21392,207,83
"2011","Coventry","E08000026",148246,175,46,16379,539,453,217,1079,2696,9124,2271,1699,2221,7294,25184,6811,7016,4442,6041,1955,6760,7055,7367,21938,19605,6187,52,19
"2011","Dudley","E08000027",123197,103,25,16772,685,370,363,1432,6013,3595,4314,958,896,11792,23188,4622,5749,2718,2733,1233,4929,6012,7022,12508,17038,4869,24,6
"2011","Sandwell","E08000028",125467,103,35,21462,2822,572,439,1906,7806,4200,3717,2575,1597,10766,23418,9354,4858,1452,2430,1941,3475,6195,4598,11254,14814,5097,39,4
"2011","Solihull","E08000029",99967,201,31,11022,591,156,140,363,895,7767,1110,1327,550,7158,15811,5990,6524,5802,4044,1430,6476,6557,3524,9223,10185,4029,70,13
"2011","Walsall","E08000030",105000,113,45,15587,972,1013,329,1153,6225,3373,2522,242,1818,9747,21049,5608,4593,1376,3028,1553,3057,4866,4511,10938,12910,3929,29,1
"2011","Wolverhampton","E08000031",108004,106,106,13837,1427,524,209,1263,4454,3455,2505,470,982,8234,17888,5693,5212,2505,3409,1815,3962,4538,6069,12044,16593,4498,41,2
"2011","Bromsgrove","E07000234",39055,322,19,3801,354,95,66,207,461,1281,1337,139,376,3688,5796,1081,2606,1350,1645,593,2348,2019,1703,4374,5019,2148,26,2
"2011","Malvern Hills","E07000235",31181,1016,27,3865,659,118,194,582,464,1049,799,119,206,2636,4806,806,1969,1087,612,527,2627,1292,1082,3366,3578,1520,39,1
"2011","Redditch","E07000236",39031,99,4,8338,408,102,87,627,2295,3317,1502,105,179,2766,7932,1557,1301,1511,675,294,2038,2005,1248,2878,4877,1212,11,1
"2011","Worcester","E07000237",53214,81,23,5300,231,108,38,385,1417,2085,1036,808,329,3055,8705,2318,2444,1711,1035,1245,2832,2081,3939,5870,9053,2363,22,0
"2011","Wychavon","E07000238",54092,1505,27,8139,1614,224,281,733,1294,2243,1750,156,588,4228,9638,2784,2915,1306,873,796,2825,3149,3503,4323,4733,2539,59,6
"2011","Wyre Forest","E07000239",37393,308,12,5331,166,1078,163,307,1065,1389,1163,94,350,3328,7599,1541,1993,821,670,655,1635,1644,1318,3471,4550,2040,31,2
"2011","Bedford","E06000055",74527,562,20,5632,826,134,107,548,1001,1639,1377,643,630,5743,13379,4069,3420,2346,1446,1025,4615,3490,5429,8644,10236,3143,41,14
"2011","Central Bedfordshire","E06000056",98170,922,88,10387,1198,210,499,1169,1640,3024,2647,226,573,11777,17088,5109,5110,3563,1751,1658,5889,4597,4760,11040,7945,5606,71,10
"2011","Luton","E06000032",89954,101,10,10121,889,404,63,757,907,4422,2679,137,444,6742,12745,10880,4111,3034,1766,1201,3878,7030,4152,10368,9947,3232,49,6
"2011","Peterborough","E06000031",101167,610,44,10227,1922,209,142,549,1042,4012,2351,318,910,5596,19031,5569,4177,3793,6327,1294,4504,7137,7246,8385,12142,3799,48,10
"2011","Southend-on-Sea","E06000033",72074,82,7,3980,167,219,113,409,680,671,1721,146,305,5691,11149,2828,3810,1642,5917,1226,3438,3760,4042,8094,11848,4071,32,6
"2011","Thurrock","E06000034",64202,125,37,4819,567,135,217,1367,747,553,1233,550,720,6429,17697,8303,2977,1127,1194,511,1891,3002,2137,5602,4862,2185,30,4
"2011","Cambridge","E07000008",94190,132,66,3384,182,75,33,597,244,1359,894,115,448,2792,11437,2249,4841,6754,1533,1245,12166,3369,3613,21616,14362,3940,80,48
"2011","East Cambridgeshire","E07000009",31112,1585,23,3578,401,177,368,501,519,781,831,90,296,3598,4758,2043,1235,932,431,365,2108,1418,681,3075,2954,1838,51,53
"2011","Fenland","E07000010",38156,1432,21,6612,2850,401,325,274,913,619,1230,73,287,3802,6675,2149,1392,493,520,428,1327,2291,2040,3147,4058,1392,11,6
"2011","Huntingdonshire","E07000011",77355,1037,49,10247,1103,214,597,1396,1358,2472,3107,157,1180,6168,11935,3122,3521,3099,1339,1155,5026,3729,6384,6587,8290,3296,50,984
"2011","South Cambridgeshire","E07000012",74393,1126,39,10001,835,175,253,1681,1342,3147,2568,128,459,6024,8987,2087,2615,5168,1173,840,10525,2930,3417,7465,8304,2968,91,46
"2011","Basildon","E07000066",82802,150,19,10199,321,217,132,867,1046,5270,2346,172,813,9120,15323,4473,3247,2712,3676,1390,3799,3689,3405,6340,10998,3237,36,4
"2011","Braintree","E07000067",57625,732,24,6639,995,185,228,593,1517,1359,1762,131,510,7228,9912,2659,2604,1637,1651,843,3245,2696,2855,5402,6061,2737,55,4
"2011","Brentwood","E07000068",33868,181,5,3176,182,50,66,245,330,1677,626,64,204,3805,4507,1469,1676,1550,2825,373,2324,1882,1034,3502,3497,1754,37,3
"2011","Castle Point","E07000069",25388,47,11,2030,81,135,96,351,343,469,555,91,195,3875,4623,1288,1231,496,876,256,1096,1102,775,3263,2759,1360,13,1
"2011","Chelmsford","E07000070",82621,518,35,5125,809,90,159,395,723,1674,1275,177,787,7578,13036,3689,3836,2420,4820,1303,5197,3578,6129,8942,11312,4076,59,4
"2011","Colchester","E07000071",83688,544,100,5022,598,152,203,469,680,1100,1820,234,519,6783,14404,2954,3898,2705,3200,1363,4227,3950,6536,10362,12740,4075,65,7
"2011","Epping Forest","E07000072",47610,468,11,2516,118,192,92,219,432,475,988,85,310,7171,8414,2409,2414,1365,1261,832,2927,3005,1562,4778,5001,3000,77,4
"2011","Harlow","E07000073",39814,29,2,4526,175,70,77,1026,755,1304,1119,64,275,3496,8825,1920,1453,1615,641,328,2149,2100,1461,3508,5998,1402,19,3
"2011","Maldon","E07000074",23037,432,28,3025,228,80,53,275,556,783,1050,246,344,3004,3768,1053,1143,489,607,289,1393,1153,646,1875,2284,1224,34,0
"2011","Rochford","E07000075",26660,211,9,2763,79,77,50,254,401,1046,856,222,224,3688,3949,1282,1269,620,1048,364,1438,1273,1635,2759,2441,1446,19,0
"2011","Tendring","E07000076",44323,703,18,3205,275,121,180,398,633,811,787,124,388,4576,8291,3156,2751,754,799,522,1530,1986,1798,4571,6705,2422,20,4
"2011","Uttlesford","E07000077",40286,663,10,3511,171,93,53,486,445,907,1356,55,196,3753,5485,6308,2119,1127,939,412,3030,2429,2147,3776,2662,1595,63,6
"2011","Broxbourne","E07000095",38867,94,8,3332,159,109,77,787,420,618,1162,132,265,5463,10925,2340,1447,1041,979,621,1675,2276,1003,3450,2272,1502,37,5
"2011","Dacorum","E07000096",66247,312,34,4351,297,118,60,427,600,1275,1574,229,295,6082,13240,3450,3303,4540,1910,874,5058,3649,2336,6769,6055,3666,88,6
"2011","East Hertfordshire","E07000242",58180,488,62,5883,368,101,86,2041,636,1142,1509,123,340,5626,9231,1852,3290,2124,1475,1003,5224,3149,2692,7083,5421,3023,84,7
"2011","Hertsmere","E07000098",46377,133,17,2666,161,143,32,666,235,666,763,283,168,4372,8338,2218,2424,2646,2579,930,3479,2687,1164,5073,4123,2966,104,7
"2011","North Hertfordshire","E07000099",52441,415,9,6642,278,128,122,1743,1258,1401,1712,228,315,5139,9340,1731,2330,2256,2601,997,3717,2233,1133,5278,5116,2908,50,3
"2011","St Albans","E07000240",61531,228,34,2695,507,143,29,342,261,587,826,99,357,5009,10493,2346,3004,3275,2532,902,7211,3458,1636,7687,6891,3548,118,8
"2011","Stevenage","E07000243",44839,25,5,5504,300,43,43,414,1526,2502,676,127,240,3655,7409,1739,2213,2767,940,497,2007,2116,3049,3786,6699,2036,18,7
"2011","Three Rivers","E07000102",35393,89,16,1790,168,41,36,153,160,564,668,174,389,4857,4765,1276,1796,2709,1944,567,2589,1926,1943,3529,2738,2161,51,84
"2011","Watford","E07000103",51469,22,27,2813,111,118,35,534,266,683,1066,220,208,3955,12137,2822,2730,2677,1799,570,3151,3027,2045,3585,7242,2392,43,4
"2011","Welwyn Hatfield","E07000241",68426,104,12,4500,405,170,72,998,534,1081,1240,99,942,4310,16998,3109,2490,4689,1206,690,4873,3666,4123,7062,6840,2637,69,7
"2011","Breckland","E07000143",50487,2379,33,6973,1756,141,135,1126,872,931,2012,119,487,4789,9110,2839,2279,645,791,594,1960,2373,2647,4403,5409,2371,34,252
"2011","Broadland","E07000144",47264,980,33,4471,961,172,165,565,833,683,1092,146,403,5558,8290,1756,2403,1030,2426,922,2123,2021,1573,4114,6930,2026,57,2
"2011","Great Yarmouth","E07000145",39960,347,589,3196,370,75,38,226,701,1046,740,227,275,3052,6988,1743,3887,483,549,340,2301,1647,1324,3565,7250,2176,16,5
"2011","King's Lynn and West Norfolk","E07000146",63513,2230,120,7420,2163,187,348,781,707,1569,1665,253,538,5920,10863,2250,3654,740,1270,773,2194,2663,5536,5529,8873,2482,89,116
"2011","North Norfolk","E07000147",39632,1563,115,4103,1273,139,125,431,526,721,888,218,198,3572,7337,1375,3512,520,663,540,1697,1879,1453,3712,4653,2464,50,8
"2011","Norwich","E07000148",89224,147,71,5814,1127,267,246,828,571,929,1846,160,412,4838,16569,3602,5515,3343,8646,1344,5399,4066,5881,10124,8534,4707,40,12
"2011","South Norfolk","E07000149",54367,1709,69,5011,530,170,319,366,914,1726,986,158,496,5348,7644,1737,2508,1036,1229,783,3440,2021,2731,4760,11246,2372,60,9
"2011","Babergh","E07000200",35722,856,15,5530,669,503,100,582,858,1283,1535,80,227,3650,6634,1376,2273,880,734,369,1945,1722,1190,3374,3189,1617,47,14
"2011","Forest Heath","E07000201",32904,704,11,2810,186,103,290,212,480,734,805,36,161,2535,4648,1089,2576,491,623,354,1516,1501,2675,1751,2472,2852,28,4071
"2011","Ipswich","E07000202",71601,115,19,3395,323,84,46,285,406,748,1503,875,361,5325,12067,4513,3392,1969,5624,892,3030,3398,5051,6407,12053,3080,18,17
"2011","Mid Suffolk","E07000203",41665,1745,36,5568,1863,113,161,588,747,956,1140,275,400,4885,5896,2691,1639,1010,642,414,2201,1908,3043,3493,4110,1631,64,14
"2011","St Edmundsbury","E07000204",58400,959,15,7992,2642,149,207,1208,774,1226,1786,474,347,4220,10409,2464,2897,1205,1291,790,2679,2628,4449,4761,8184,2503,66,67
"2011","Suffolk Coastal","E07000205",54351,1331,37,3216,417,104,93,225,444,1180,753,1151,350,3683,7843,6959,3296,3998,871,642,2335,2108,3798,4944,4892,2816,73,8
"2011","Waveney","E07000206",44953,766,132,5966,1719,100,113,1053,541,522,1918,162,465,4040,8389,1748,3318,504,678,523,2021,2113,2160,4285,5367,2123,22,171
"2011","Camden","E09000007",272367,104,214,4819,468,873,38,371,385,563,2121,586,322,8255,23042,11123,15907,28169,9203,4730,57008,12344,13018,29485,32790,20161,774,313
"2011","City of London","E09000001",356706,81,170,2864,311,198,29,310,307,579,1130,550,212,5723,14242,4832,10980,25299,163425,4857,79487,17386,7105,5532,5835,7919,56,151
"2011","Hackney","E09000012",103604,40,24,3144,331,822,57,135,222,192,1385,84,308,4871,9701,4847,5400,9778,4805,2584,14697,5799,4944,11006,13522,7840,176,34
"2011","Hammersmith and Fulham","E09000013",124530,73,97,2948,551,365,30,372,290,411,929,133,328,4763,16461,4406,7332,22204,3439,2984,14025,6193,6431,9543,13725,8812,548,85
"2011","Haringey","E09000014",81001,34,13,3143,505,842,81,193,251,322,949,119,321,7343,11221,5130,4831,3924,1482,2023,5843,5414,3938,10346,8637,6818,371,50
"2011","Islington","E09000019",167159,70,156,4113,366,711,49,200,335,473,1979,297,656,6803,13992,6579,8259,18172,12392,3658,30545,9480,8603,14416,18548,10029,250,141
"2011","Kensington and Chelsea","E09000020",116546,99,158,1858,301,415,36,200,107,210,589,103,195,3297,20976,2913,11520,8965,5574,4457,11395,5601,3482,8236,14474,10607,1530,1106
"2011","Lambeth","E09000022",137664,83,553,2520,329,272,55,403,303,377,781,431,451,7909,11611,5489,8566,11540,2516,2390,12047,9278,10475,12329,28589,10193,445,249
"2011","Lewisham","E09000023",78895,35,17,1997,211,176,47,137,289,260,877,117,467,6738,9257,3823,4708,3062,2084,1686,4360,4519,5302,11877,12756,5841,188,61
"2011","Newham","E09000025",103887,76,19,3972,1150,469,39,210,296,584,1224,419,1049,11775,15194,7986,6711,2653,2452,2544,4080,8094,6798,13841,11762,4165,260,37
"2011","Southwark","E09000028",183496,67,86,3991,416,300,69,196,468,673,1869,595,425,9193,13949,9439,9584,15960,12084,3744,31811,11760,13430,16917,18706,11431,260,64
"2011","Tower Hamlets","E09000030",234726,91,400,4597,355,841,48,382,470,491,2010,425,414,8239,15163,7857,10269,19241,78316,4064,28335,10285,8935,15730,13735,7865,122,643
"2011","Wandsworth","E09000032",117924,64,74,2734,415,329,86,268,266,460,910,177,356,6966,15383,6248,7124,6559,3336,2882,11635,6557,5402,14003,19350,8072,887,115
"2011","Westminster","E09000033",579739,237,2271,9899,1779,1786,63,1284,854,1520,2613,1864,472,14564,71815,17277,48382,50582,51950,17035,84920,29265,75225,29279,29461,38563,1980,4698
"2011","Barking and Dagenham","E09000002",58444,48,17,6794,532,210,85,648,567,3683,1069,222,793,6928,8677,5040,2447,1051,1191,595,1782,3755,3536,6909,5781,2766,101,11
"2011","Barnet","E09000003",129112,69,39,3240,458,434,67,369,337,467,1108,255,420,11018,21181,5500,6599,5448,3674,3494,11176,6676,6226,17207,17600,8299,857,134
"2011","Bexley","E09000004",74670,114,40,4951,1274,174,177,422,656,736,1512,1095,915,9976,13069,4966,3413,2169,1921,1171,3119,3824,3848,8551,8009,3416,90,13
"2011","Brent","E09000005",115221,55,39,7993,3305,529,82,540,666,979,1892,226,726,12857,19086,8551,6202,4882,2172,2278,6392,7444,4565,11768,14039,5395,475,76
"2011","Bromley","E09000006",111405,175,37,4003,457,227,83,505,473,808,1450,404,490,11280,17933,4885,5017,4219,7522,2018,7475,6075,4973,13113,14817,6694,252,23
"2011","Croydon","E09000008",120398,40,38,3904,288,266,91,428,509,812,1510,257,644,11674,19350,6205,5677,5167,5870,2094,8967,6885,8683,13793,15456,5527,141,26
"2011","Ealing","E09000009",132461,99,122,8911,2967,414,74,632,939,1555,2330,184,646,12904,22971,10570,6752,7946,2470,2325,9498,8421,4952,12861,13870,6442,444,73
"2011","Enfield","E09000010",105493,121,15,4855,1155,591,107,370,763,522,1347,279,852,10593,18662,6412,5322,3556,3087,2301,4928,5788,4716,13440,15077,5250,214,25
"2011","Greenwich","E09000011",86199,58,31,3260,298,161,106,291,483,566,1355,223,588,8168,10498,5216,5156,2852,1716,1551,4142,5002,7246,12594,11983,5715,177,23
"2011","Harrow","E09000015",73804,27,33,3292,652,226,393,431,200,538,852,121,223,8460,11006,3504,3301,3312,2460,1286,7111,3908,2871,9524,8645,4497,203,20
"2011","Havering","E09000016",84726,91,18,4170,371,158,103,697,708,883,1250,235,697,11612,14657,5845,3792,2082,4121,1017,3420,4177,3460,9029,12229,3926,70,78
"2011","Hillingdon","E09000017",164963,104,450,10620,2084,214,77,2361,1180,1960,2744,381,581,10998,23926,35659,10412,7748,2781,1409,7658,11492,8677,14005,12858,4885,159,160
"2011","Hounslow","E09000018",128880,74,482,6747,899,164,65,2140,601,1325,1553,155,588,7587,17732,18061,7306,16456,3582,2066,9017,8364,6023,9239,9214,5720,314,153
"2011","Kingston upon Thames","E09000021",72450,39,46,2468,190,141,36,302,314,509,976,122,235,4388,13331,2283,3621,4097,2751,1005,5108,4874,4014,9626,9491,4735,184,32
"2011","Merton","E09000024",75223,36,85,3582,337,212,72,666,562,482,1251,179,399,7842,11758,4732,3602,3682,2321,1356,5767,5330,3244,7667,7890,5373,344,34
"2011","Redbridge","E09000026",78894,34,17,2771,201,253,61,287,326,681,962,164,213,7899,11810,4882,3712,3085,2525,1566,4747,4347,4577,11147,11351,3874,153,20
"2011","Richmond upon Thames","E09000027",78387,57,85,2404,485,162,41,380,266,351,719,217,291,4015,10106,2893,4763,6613,2807,2034,10542,4843,2958,9366,7114,6825,421,33
"2011","Sutton","E09000029",72286,90,53,2567,159,98,57,261,374,450,1168,165,387,8339,10905,4361,2720,3435,2070,962,4477,5073,3624,7633,12049,3233,125,18
"2011","Waltham Forest","E09000031",79221,56,10,3523,613,481,90,241,419,283,1396,109,641,9641,11864,4897,4191,2191,1805,1425,3725,5750,3788,10150,11131,4121,177,26
"2011","Bracknell Forest","E06000036",59267,122,33,3732,87,64,68,585,255,1682,991,179,157,3702,11612,1844,2421,9059,1411,730,4972,3486,3133,5280,4732,2568,87,7
"2011","Brighton and Hove","E06000043",134345,114,26,3984,352,250,195,444,530,764,1449,1351,489,8111,19555,4924,9129,7242,9289,2585,9442,6689,5887,16951,19434,8955,150,38
"2011","Isle of Wight","E06000046",56591,723,52,5154,151,392,71,301,490,3016,733,202,321,4864,9223,1961,5399,978,764,889,2308,2169,3532,5544,9071,3354,75,8
